userId,topic,cluster,profile,turns,trace_count,mean_trace_length,unique_acts,avg_branching,avg_entropy
31cb6500-d081-7067-9d22-37992452f2ad,a1,0,Exploratorio / investigativo A,50,3,16.666666666666668,9,2.7777777777777777,1.0661362578106928
31cb6500-d081-7067-9d22-37992452f2ad,a4,0,Exploratorio / investigativo A,20,1,20.0,4,2.0,0.6092731770382611
31db5580-10e1-70d5-9f5c-004b166ac03c,a4,0,Exploratorio / investigativo A,32,3,10.666666666666666,8,1.875,0.6746580308107925
410b95f0-5061-701c-4a3c-9930963ae77f,a5,0,Exploratorio / investigativo A,10,1,10.0,7,1.2857142857142858,0.430827083453526
411bd580-f051-7091-c64b-39f944fda7b6,a2,0,Exploratorio / investigativo A,18,2,9.0,5,2.2,0.8741487461225095
415b45e0-c021-70ec-1015-5db26e8e37a8,a2,0,Exploratorio / investigativo A,7,1,7.0,2,1.0,0.0
415b45e0-c021-70ec-1015-5db26e8e37a8,a3,0,Exploratorio / investigativo A,4,1,4.0,2,1.5,0.5
41cb85f0-d081-708c-e151-e2b062eb0f1d,a2,0,Exploratorio / investigativo A,22,2,11.0,5,2.0,0.7354269483832713
41cb85f0-d081-708c-e151-e2b062eb0f1d,a6,0,Exploratorio / investigativo A,7,1,7.0,4,1.5,0.396240625180289
41eb6500-1081-7006-138f-298c1f0f89f5,a2,0,Exploratorio / investigativo A,10,2,5.0,3,1.6666666666666667,0.5739760316291208
41eb6500-1081-7006-138f-298c1f0f89f5,a3,0,Exploratorio / investigativo A,6,1,6.0,4,1.0,0.3060986113514965
41eb6500-1081-7006-138f-298c1f0f89f5,a4,0,Exploratorio / investigativo A,13,1,13.0,5,2.0,0.7843856189774725
41eb6500-1081-7006-138f-298c1f0f89f5,a7,0,Exploratorio / investigativo A,6,2,3.0,2,1.0,0.0
510b5580-60e1-7095-f35a-7fd78cd92cfe,a7,0,Exploratorio / investigativo A,41,2,20.5,9,2.0,0.6401455645199352
511bf560-b061-7030-1534-373d6182148d,a2,0,Exploratorio / investigativo A,43,3,14.333333333333334,8,2.5,1.207791714110128
511bf560-b061-7030-1534-373d6182148d,a3,0,Exploratorio / investigativo A,22,2,11.0,7,2.0,0.6377460546027611
514b6590-9031-70f3-bdf0-6fb6ff753346,a4,0,Exploratorio / investigativo A,11,1,11.0,3,1.3333333333333333,0.49321336436542124
514b6590-9031-70f3-bdf0-6fb6ff753346,a5,0,Exploratorio / investigativo A,8,1,8.0,2,1.5,0.36096404744368116
51abb5c0-8061-70ad-a2f4-55de1f7ca8e9,a1,0,Exploratorio / investigativo A,4,1,4.0,4,0.75,0.0
611bf540-9091-708a-926e-51ff59cf9473,a6,0,Exploratorio / investigativo A,31,2,15.5,5,2.2,0.5752943969919224
61abe5e0-d021-7066-78e5-8732da2c09a0,a3,0,Exploratorio / investigativo A,22,2,11.0,6,1.8333333333333333,0.7397935927150753
61abe5e0-d021-7066-78e5-8732da2c09a0,a4,0,Exploratorio / investigativo A,33,1,33.0,7,2.2857142857142856,0.781292686302013
61abe5e0-d021-7066-78e5-8732da2c09a0,a6,0,Exploratorio / investigativo A,21,3,7.0,4,1.5,0.17496070997155966
61abe5e0-d021-7066-78e5-8732da2c09a0,a7,0,Exploratorio / investigativo A,8,1,8.0,2,1.5,0.32501121082417705
61bb4560-e0e1-70b5-d308-ad58511a0fc5,a2,0,Exploratorio / investigativo A,30,1,30.0,5,2.2,0.7741788492008543
61bb4560-e0e1-70b5-d308-ad58511a0fc5,a3,0,Exploratorio / investigativo A,39,2,19.5,8,2.5,0.9180473878566193
61bb4560-e0e1-70b5-d308-ad58511a0fc5,a4,0,Exploratorio / investigativo A,40,3,13.333333333333334,6,1.8333333333333333,0.22283881177401754
61bbc5f0-2041-7061-260b-a4d10ca29e45,a1,0,Exploratorio / investigativo A,3,1,3.0,3,0.6666666666666666,0.0
61dba5f0-00f1-7082-7b9c-b35054207615,a2,0,Exploratorio / investigativo A,3,1,3.0,2,1.0,0.0
61eb0590-9001-70e9-9ded-e189346bd845,a6,0,Exploratorio / investigativo A,13,1,13.0,6,1.8333333333333333,0.680827083453526
710bd530-f031-7016-ebe5-ee614a366f14,a5,0,Exploratorio / investigativo A,38,1,38.0,7,2.7142857142857144,1.093298265559337
710bd530-f031-7016-ebe5-ee614a366f14,a6,0,Exploratorio / investigativo A,10,1,10.0,6,1.3333333333333333,0.25
711b6580-50d1-70c7-2c33-364aab9519a1,a4,0,Exploratorio / investigativo A,18,3,6.0,6,1.6666666666666667,0.8514097655573916
711b6580-50d1-70c7-2c33-364aab9519a1,a5,0,Exploratorio / investigativo A,23,1,23.0,4,1.5,0.3658459466139845
714b9540-8061-70d8-daaa-8a4b42d4dd71,a1,0,Exploratorio / investigativo A,7,1,7.0,5,1.2,0.2
714b9540-8061-70d8-daaa-8a4b42d4dd71,a7,0,Exploratorio / investigativo A,29,1,29.0,6,2.0,0.5732497334152132
719b2530-2001-7002-244b-0c90ec1dc48d,a5,0,Exploratorio / investigativo A,32,1,32.0,7,2.0,0.5123824667169167
71ab5570-8001-709a-1343-b36f475fb202,a1,0,Exploratorio / investigativo A,48,1,48.0,8,2.0,0.38689689129398575
71ab5570-8001-709a-1343-b36f475fb202,a4,0,Exploratorio / investigativo A,9,1,9.0,4,1.75,0.7295739585136224
71ab5570-8001-709a-1343-b36f475fb202,a6,0,Exploratorio / investigativo A,21,1,21.0,3,1.6666666666666667,0.2047898152955856
71cb5540-20c1-70a9-1806-fbc6af5f0b86,a2,0,Exploratorio / investigativo A,13,3,4.333333333333333,5,1.8,0.8767226489021296
71cb5540-20c1-70a9-1806-fbc6af5f0b86,a3,0,Exploratorio / investigativo A,30,3,10.0,5,1.6,0.5136070012117078
71cb5540-20c1-70a9-1806-fbc6af5f0b86,a4,0,Exploratorio / investigativo A,25,4,6.25,5,1.8,0.4420906779570222
71db5530-00e1-709f-0e88-2c9a19f8dc8b,a3,0,Exploratorio / investigativo A,3,1,3.0,3,0.6666666666666666,0.0
71fb0550-10e1-7086-a384-f22bf12dee89,a3,0,Exploratorio / investigativo A,18,2,9.0,5,1.6,0.4182332579683419
811bc590-9011-705e-82d7-38a6c705a6c4,a3,0,Exploratorio / investigativo A,36,5,7.2,7,2.4285714285714284,0.9627570717765097
811bc590-9011-705e-82d7-38a6c705a6c4,a4,0,Exploratorio / investigativo A,10,1,10.0,4,1.75,0.646240625180289
811bc590-9011-705e-82d7-38a6c705a6c4,a7,0,Exploratorio / investigativo A,16,3,5.333333333333333,4,1.5,0.28919491236175987
812b15e0-7001-7072-351b-af5182106bba,a2,0,Exploratorio / investigativo A,13,3,4.333333333333333,4,1.75,0.5629072918469558
813b75b0-90b1-7068-9549-77eb9a62ffdc,a3,0,Exploratorio / investigativo A,46,7,6.571428571428571,8,1.875,0.8961378083431293
813b75b0-90b1-7068-9549-77eb9a62ffdc,a7,0,Exploratorio / investigativo A,12,5,2.4,3,1.0,0.32501121082417705
817b9500-8071-700f-6d35-00db749ffca6,a5,0,Exploratorio / investigativo A,16,2,8.0,3,1.6666666666666667,0.27222969610500697
817b9500-8071-700f-6d35-00db749ffca6,a6,0,Exploratorio / investigativo A,7,1,7.0,4,1.5,0.6666666666666666
819b2520-80d1-7040-a2e8-a74594524790,a3,0,Exploratorio / investigativo A,7,2,3.5,3,1.0,0.4056390622295664
81cbb5e0-9011-7077-7e4e-7aca1564666c,a3,0,Exploratorio / investigativo A,30,2,15.0,6,1.6666666666666667,0.22236824324134144
81cbb5e0-9011-7077-7e4e-7aca1564666c,a4,0,Exploratorio / investigativo A,42,5,8.4,8,2.25,0.9233487304251964
81fbe5c0-8001-7054-3ac3-3e9db3f6e198,a1,0,Exploratorio / investigativo A,70,2,35.0,6,3.6666666666666665,1.4522407430727233
919b25a0-0071-7022-b6bb-2716eefd7953,a4,0,Exploratorio / investigativo A,26,1,26.0,6,2.0,0.7071260212260219
91ab25a0-f051-70ce-9d29-ac0649a68c53,a6,0,Exploratorio / investigativo A,15,2,7.5,4,1.5,0.4258711456063718
91ab45a0-6011-7078-f1e9-b3a94075f7b7,a4,0,Exploratorio / investigativo A,20,1,20.0,4,2.25,0.9323934896284056
91ab45a0-6011-7078-f1e9-b3a94075f7b7,a6,0,Exploratorio / investigativo A,24,3,8.0,4,2.25,0.8896028781422747
91bbd550-f0a1-7047-142d-6aeab04713b1,a2,0,Exploratorio / investigativo A,12,1,12.0,4,2.5,1.146240625180289
91bbe500-b011-7005-c471-0da2f8815108,a3,0,Exploratorio / investigativo A,37,1,37.0,6,2.3333333333333335,0.8959381779197066
91bbe500-b011-7005-c471-0da2f8815108,a4,0,Exploratorio / investigativo A,30,1,30.0,6,2.0,0.6790559156274935
91cb75e0-00e1-70ae-d581-d5924359d3b1,a3,0,Exploratorio / investigativo A,15,1,15.0,4,1.75,0.6823934896284056
91cb75e0-00e1-70ae-d581-d5924359d3b1,a5,0,Exploratorio / investigativo A,13,1,13.0,3,1.6666666666666667,0.3073093649624541
91fb2530-b051-70f2-9bbb-1733c381bfbc,a5,0,Exploratorio / investigativo A,4,1,4.0,2,1.5,0.5
a10bd580-0091-709a-49e7-6e9c96ea58c6,a1,0,Exploratorio / investigativo A,17,2,8.5,7,2.0,0.6459486623347599
a10bd580-0091-709a-49e7-6e9c96ea58c6,a3,0,Exploratorio / investigativo A,36,4,9.0,7,1.8571428571428572,0.39712967374392044
a10bd580-0091-709a-49e7-6e9c96ea58c6,a5,0,Exploratorio / investigativo A,42,2,21.0,5,2.2,0.5345622859173209
a10bd580-0091-709a-49e7-6e9c96ea58c6,a6,0,Exploratorio / investigativo A,29,2,14.5,6,2.0,0.5523288757644843
a10bd580-0091-709a-49e7-6e9c96ea58c6,a7,0,Exploratorio / investigativo A,9,2,4.5,3,1.3333333333333333,0.6258145836939114
a13b5500-0021-7047-dba8-89607721af5d,a3,0,Exploratorio / investigativo A,29,1,29.0,6,2.3333333333333335,0.7157223331416379
a13b5500-0021-7047-dba8-89607721af5d,a4,0,Exploratorio / investigativo A,38,1,38.0,5,2.2,0.6989003724396609
a13b5500-0021-7047-dba8-89607721af5d,a7,0,Exploratorio / investigativo A,7,1,7.0,3,1.3333333333333333,0.6854752972273344
a15b55c0-6081-70cd-a61b-afbdaf0eff13,a2,0,Exploratorio / investigativo A,8,2,4.0,3,1.6666666666666667,0.5
a15b55c0-6081-70cd-a61b-afbdaf0eff13,a6,0,Exploratorio / investigativo A,19,1,19.0,3,2.3333333333333335,0.8469506943242516
a15bd5a0-20b1-705d-cacd-efb43606a358,a3,0,Exploratorio / investigativo A,15,1,15.0,5,1.8,0.9709393603541386
a15bd5a0-20b1-705d-cacd-efb43606a358,a5,0,Exploratorio / investigativo A,11,2,5.5,4,1.5,0.36478697925681114
a19b0540-7071-7042-dcd4-e8b1bed38ef4,a3,0,Exploratorio / investigativo A,7,1,7.0,2,1.0,0.0
a19b0540-7071-7042-dcd4-e8b1bed38ef4,a5,0,Exploratorio / investigativo A,11,1,11.0,5,1.6,0.3843856189774725
a19b0540-7071-7042-dcd4-e8b1bed38ef4,a6,0,Exploratorio / investigativo A,7,1,7.0,3,1.3333333333333333,0.2704260414863776
a19b0540-7071-7042-dcd4-e8b1bed38ef4,a7,0,Exploratorio / investigativo A,21,1,21.0,5,1.8,0.5093187128589877
a1cb4570-5011-70b5-5fdf-1eaee3de61f4,a2,0,Exploratorio / investigativo A,37,2,18.5,7,1.5714285714285714,0.24488481359867606
a1cb4570-5011-70b5-5fdf-1eaee3de61f4,a5,0,Exploratorio / investigativo A,21,1,21.0,6,1.6666666666666667,0.22832901254575014
a1cb4570-5011-70b5-5fdf-1eaee3de61f4,a6,0,Exploratorio / investigativo A,69,4,17.25,7,2.142857142857143,0.5420947816299893
a1cb4570-5011-70b5-5fdf-1eaee3de61f4,a7,0,Exploratorio / investigativo A,32,1,32.0,8,1.625,0.1527524857389564
a1dba540-c071-705a-e705-3f35ce26988f,a3,0,Exploratorio / investigativo A,11,1,11.0,6,1.3333333333333333,0.25
a1eb05a0-7031-707b-b065-0f30c86f0a6e,a5,0,Exploratorio / investigativo A,47,1,47.0,8,2.25,0.5543060557142806
a1eb05a0-7031-707b-b065-0f30c86f0a6e,a7,0,Exploratorio / investigativo A,25,2,12.5,5,1.4,0.15484866058345395
a1eba540-c0b1-7047-0613-98a1815ad2ae,a2,0,Exploratorio / investigativo A,16,2,8.0,5,1.6,0.5087128886399193
a1ebb500-9081-70a6-c0d9-6fc5a9b63b7d,a3,0,Exploratorio / investigativo A,7,1,7.0,3,1.6666666666666667,0.5
a1fb3570-f021-705f-6d23-353ec8617ab4,a7,0,Exploratorio / investigativo A,3,1,3.0,2,1.0,0.0
a1fbb540-3041-70e7-def6-bcec00a31d99,a1,0,Exploratorio / investigativo A,8,1,8.0,4,1.75,0.646240625180289
a1fbb540-3041-70e7-def6-bcec00a31d99,a5,0,Exploratorio / investigativo A,25,1,25.0,4,1.75,0.3401318278609271
a1fbb540-3041-70e7-def6-bcec00a31d99,a6,0,Exploratorio / investigativo A,11,1,11.0,4,1.75,0.5629072918469558
a1fbb540-3041-70e7-def6-bcec00a31d99,a7,0,Exploratorio / investigativo A,8,1,8.0,3,1.6666666666666667,0.45698353148488957
b19b0560-c011-70d1-0a4f-c32cfa1ae4cd,a6,0,Exploratorio / investigativo A,75,6,12.5,6,2.5,0.6961977291812945
b19ba550-c0d1-706b-5b31-6f30f3eaa255,a6,0,Exploratorio / investigativo A,22,3,7.333333333333333,4,1.75,0.5441588198258709
b19ba550-c0d1-706b-5b31-6f30f3eaa255,a7,0,Exploratorio / investigativo A,11,1,11.0,4,1.5,0.4125056054120885
b1bbe550-6071-708d-a4b6-8d280dff01d0,a1,0,Exploratorio / investigativo A,36,1,36.0,7,2.142857142857143,0.7394500399386977
b1bbe550-6071-708d-a4b6-8d280dff01d0,a2,0,Exploratorio / investigativo A,11,2,5.5,4,1.5,0.4323934896284056
b1cb15d0-c071-70b9-1731-442bca494a97,a3,0,Exploratorio / investigativo A,13,4,3.25,3,2.0,0.8134079763139507
c11b3500-c051-70c9-5385-6797f6c08070,a1,0,Exploratorio / investigativo A,42,1,42.0,9,3.2222222222222223,1.2793814286857963
c11bd560-50c1-70ac-8129-15966669f4ae,a4,0,Exploratorio / investigativo A,36,1,36.0,7,2.142857142857143,0.6549681406493549
c11bd560-50c1-70ac-8129-15966669f4ae,a6,0,Exploratorio / investigativo A,11,1,11.0,5,1.6,0.35849625007211555
c14bf560-2021-705a-7bb3-97ad9cbde502,a4,0,Exploratorio / investigativo A,10,1,10.0,4,2.0,1.3060986113514965
c14bf560-2021-705a-7bb3-97ad9cbde502,a7,0,Exploratorio / investigativo A,7,2,3.5,5,1.0,0.0
c17b5520-f0b1-70c8-8bf1-0f5bd26a0cad,a4,0,Exploratorio / investigativo A,9,1,9.0,5,1.4,0.48048202372184057
c17be530-0011-7066-b860-92d133614a57,a2,0,Exploratorio / investigativo A,19,2,9.5,3,2.0,0.6365200315299727
c17bf5d0-5091-70a9-0d1d-8fbc31f9c224,a4,0,Exploratorio / investigativo A,16,1,16.0,5,2.0,0.891829583405449
c1ab6550-a0a1-7068-381c-46a9e01d4df5,a7,0,Exploratorio / investigativo A,29,5,5.8,4,1.75,0.7252288064539355
c1ab95b0-80d1-7047-e0fd-cf25383a25c1,a2,0,Exploratorio / investigativo A,4,1,4.0,4,0.75,0.0
c1abe560-20f1-70dc-393f-5a083011e23f,a2,0,Exploratorio / investigativo A,20,1,20.0,5,1.6,0.38927458719708835
c1abe560-20f1-70dc-393f-5a083011e23f,a4,0,Exploratorio / investigativo A,5,1,5.0,2,1.5,0.4591479170272448
d17b0530-40c1-7051-3339-0d2a5bb89823,a2,0,Exploratorio / investigativo A,4,1,4.0,2,1.0,0.0
d17b0530-40c1-7051-3339-0d2a5bb89823,a3,0,Exploratorio / investigativo A,5,1,5.0,3,1.3333333333333333,0.3333333333333333
d17b4550-a0d1-7014-38bf-d8d68777c4f4,a2,0,Exploratorio / investigativo A,17,1,17.0,4,1.75,0.560118794892789
d17b4550-a0d1-7014-38bf-d8d68777c4f4,a3,0,Exploratorio / investigativo A,15,3,5.0,6,1.6666666666666667,0.7013781191217037
e12b2510-60e1-709a-9903-b758e497809a,a3,0,Exploratorio / investigativo A,4,1,4.0,3,1.0,0.5
e12ba500-f0e1-70f2-73ab-05c1cbc44b76,a3,0,Exploratorio / investigativo A,104,11,9.454545454545455,10,3.2,1.1036277009558644
e12ba500-f0e1-70f2-73ab-05c1cbc44b76,a5,0,Exploratorio / investigativo A,60,3,20.0,10,2.0,0.5940248150870935
e14bd5d0-0021-70f1-8b50-efac4033a68a,a6,0,Exploratorio / investigativo A,44,2,22.0,7,2.4285714285714284,0.9316450698279741
e14bd5d0-0021-70f1-8b50-efac4033a68a,a7,0,Exploratorio / investigativo A,34,2,17.0,4,1.75,0.2362924022799041
e16b9530-e031-70ad-d225-033f2f45a27d,a7,0,Exploratorio / investigativo A,10,1,10.0,3,1.3333333333333333,0.1972242595274425
e17b7530-3021-70d1-5891-3515d4c26ec6,a1,0,Exploratorio / investigativo A,13,1,13.0,7,1.2857142857142858,0.2774162965334102
e18b45c0-20a1-7039-271f-10630ddc7b88,a3,0,Exploratorio / investigativo A,31,1,31.0,5,2.8,1.1350028532931493
e18b45c0-20a1-7039-271f-10630ddc7b88,a4,0,Exploratorio / investigativo A,6,1,6.0,4,1.25,0.25
e19bc5d0-4021-7079-8270-a5b48b2ed74f,a3,0,Exploratorio / investigativo A,5,2,2.5,4,0.75,0.0
e1cb8510-60e1-709a-53ce-18a04547e565,a1,0,Exploratorio / investigativo A,4,1,4.0,2,1.5,0.5
e1cb9560-4091-706e-840f-87a913394f9e,a5,0,Exploratorio / investigativo A,34,3,11.333333333333334,10,1.9,0.4444716790052853
e1cb9560-4091-706e-840f-87a913394f9e,a6,0,Exploratorio / investigativo A,13,1,13.0,5,1.8,0.5328995558400923
e1ebc590-7061-70e7-0b53-19e34682613b,a1,0,Exploratorio / investigativo A,3,1,3.0,2,1.0,1.0
e1fbb500-50c1-7067-3f5b-f2a306231361,a2,0,Exploratorio / investigativo A,9,1,9.0,4,1.5,0.3427376486136672
e1fbb500-50c1-7067-3f5b-f2a306231361,a3,0,Exploratorio / investigativo A,11,3,3.6666666666666665,3,1.3333333333333333,0.5744174271404583
e1fbb500-50c1-7067-3f5b-f2a306231361,a7,0,Exploratorio / investigativo A,5,1,5.0,3,1.0,0.4591479170272448
f11bc560-6081-70ae-2949-07ca788f237b,a5,0,Exploratorio / investigativo A,25,1,25.0,6,1.6666666666666667,0.5828365676870427
f11bc560-6081-70ae-2949-07ca788f237b,a7,0,Exploratorio / investigativo A,20,2,10.0,4,2.0,0.610964047443681
f14b7530-60e1-704a-f8d5-4855523e6d94,a2,0,Exploratorio / investigativo A,7,1,7.0,3,1.3333333333333333,0.3060986113514965
